2;"SBD";"b-s";"b-s";"singularitynet-agi-blockchain-trifft-auf-kuenstliche-intelligenz";"/deutsch/@b-s/singularitynet-agi-blockchain-trifft-auf-kuenstliche-intelligenz";2460;2018-01-30 02:24:04;5.63
2;"SBD";"teevmoore";"teevmoore";"pure-epsom-salt-2018-01-29-13-39-10";"/steembloggers/@teevmoore/pure-epsom-salt-2018-01-29-13-39-10";2460;2018-01-30 02:24:04;5.63
4;"SBD";"luckystrikes";"luckystrikes";"crypterium-ico";"/kr/@luckystrikes/crypterium-ico";4920;2018-01-30 02:24:04;5.63
0.13;"SBD";"funatoz";"spydo";"nature-is-beautiful";"/smartphonephotography/@spydo/nature-is-beautiful";160;2018-01-30 02:24:04;5.63
0.1;"SBD";"skwth";"skwth";"photography-takes-an-instant-out-of-time-altering-life-by-holding-it-still";"/photography/@skwth/photography-takes-an-instant-out-of-time-altering-life-by-holding-it-still";196;2018-01-30 04:48:03;5.55;6.32
1;"SBD";"kalemandra";"kalemandra";"mandelbulb-fantasy-series-lacy-corals";"/art/@kalemandra/mandelbulb-fantasy-series-lacy-corals";1961;2018-01-30 04:48:03;5.55;6.32
0.2;"SBD";"jamjamfood";"jamjamfood";"check-check-check-grow-box-ready";"/gardening/@jamjamfood/check-check-check-grow-box-ready";392;2018-01-30 04:48:03;5.55;6.32
2;"SBD";"kalemandra";"kalemandra";"macrothursday-colorful-pebble-closeup";"/macrothursday/@kalemandra/macrothursday-colorful-pebble-closeup";3922;2018-01-30 04:48:03;5.55;6.32
0.1;"SBD";"gamzem";"gamzem";"gamzem-yaylann-imenine";"/dsound/@gamzem/gamzem-yaylann-imenine";196;2018-01-30 04:48:03;5.55;6.32
0.1;"SBD";"fitinfun";"fitinfun";"my-new-crypto-wallet-fun-and-disturbing";"/cryptocurrency/@fitinfun/my-new-crypto-wallet-fun-and-disturbing";196;2018-01-30 04:48:03;5.55;6.32
